modelo;litografia;nucleos;threads;frequencia;freq_max;cache;consumo;single;multi
E5-2687W;32;8;16;3,1;3,8;20;150;714;5445
E5-2687W;32;8;16;3,1;3,8;20;150;706;5222
E5-2687W;32;8;16;3,1;3,8;20;150;697;5235
E5-2687W;32;8;16;3,1;3,8;20;150;842;6032
E5-2687W;32;8;16;3,1;3,8;20;150;542;5693
E5-2687W;32;8;16;3,1;3,8;20;150;646;4157
E5-2687W;32;8;16;3,1;3,8;20;150;621;5138
E5-2687W;32;8;16;3,1;3,8;20;150;784;5751
E5-2687W;32;8;16;3,1;3,8;20;150;839;6026
E5-2687W;32;8;16;3,1;3,8;20;150;619;5132
E5-2687W;32;8;16;3,1;3,8;20;150;646;5146
E5-2687W;32;8;16;3,1;3,8;20;150;683;5405
E5-2687W;32;8;16;3,1;3,8;20;150;637;5353
E5-2687W;32;8;16;3,1;3,8;20;150;789;5792
E5-2687W;32;8;16;3,1;3,8;20;150;690;5583
E5-2687W;32;8;16;3,1;3,8;20;150;665;5110
E5-2687W;32;8;16;3,1;3,8;20;150;728;5551
E5-2687W;32;8;16;3,1;3,8;20;150;730;5707
E5-2687W;32;8;16;3,1;3,8;20;150;824;5792
E5-2687W;32;8;16;3,1;3,8;20;150;720;5448
E5-2687W;32;8;16;3,1;3,8;20;150;639;3660
E5-2687W;32;8;16;3,1;3,8;20;150;770;3860
E5-2687W;32;8;16;3,1;3,8;20;150;789;3908
E5-2687W;32;8;16;3,1;3,8;20;150;702;5228
E5-2687W;32;8;16;3,1;3,8;20;150;746;5348
E5-2687W;32;8;16;3,1;3,8;20;150;638;5076
E5-2687W;32;8;16;3,1;3,8;20;150;798;5784
E5-2687W;32;8;16;3,1;3,8;20;150;222;4399
E5-2687W;32;8;16;3,1;3,8;20;150;695;1965
E5-2687W;32;8;16;3,1;3,8;20;150;722;1886
E5-2687W;32;8;16;3,1;3,8;20;150;748;1931
E5-2687W;32;8;16;3,1;3,8;20;150;770;2402
E5-2680;32;8;16;2,7;3,5;20;130;633;4543
E5-2680;32;8;16;2,7;3,5;20;130;732;4673
E5-2680;32;8;16;2,7;3,5;20;130;719;4567
E5-2680;32;8;16;2,7;3,5;20;130;543;4461
E5-2680;32;8;16;2,7;3,5;20;130;582;4277
E5-2680;32;8;16;2,7;3,5;20;130;630;632
E5-2680;32;8;16;2,7;3,5;20;130;363;376
E5-2680;32;8;16;2,7;3,5;20;130;613;5161
E5-2680;32;8;16;2,7;3,5;20;130;696;5065
E5-2680;32;8;16;2,7;3,5;20;130;727;4733
E5-2680;32;8;16;2,7;3,5;20;130;624;960
E5-2680;32;8;16;2,7;3,5;20;130;623;927
E5-2680;32;8;16;2,7;3,5;20;130;657;1250
E5-2680;32;8;16;2,7;3,5;20;130;767;4773
E5-2680;32;8;16;2,7;3,5;20;130;535;535
E5-2680;32;8;16;2,7;3,5;20;130;723;4483
